id,ace_floor_ucr__c,ace_gold_commission__c,ace_silver_commission__c,base_tier__c,basic_delivery_fee__c,commission_targets_refresh__c,formstack_pricing_tier__c,formstack_service_fee__c,jack_floor_ucr__c,jack_gold_commission__c,jack_silver_commission__c,joker_floor_ucr__c,joker_gold_commission__c,joker_silver_commission__c,king_floor_ucr__c,king_gold_commission__c,king_silver_commission__c,name,ownerid,partner_service_fee__c,premium_delivery_fee__c,premium_tier__c,priority_launch_market__c,queen_floor_ucr__c,queen_gold_commission__c,queen_silver_commission__c,region__c,service_fee__c,submarket_avg_subtotal__c,submarket_id18__c,submarket_id__c,tier_2_ace__c,tier_2_jack__c,tier_2_joker__c,tier_2_king__c,tier_2_n_a__c,tier_2_queen__c,tier_3_ace__c,tier_3_jack__c,tier_3_joker__c,tier_3_king__c,tier_3_n_a__c,tier_3_queen__c,tier_4_ace__c,tier_4_jack__c,tier_4_joker__c,tier_4_king__c,tier_4_n_a__c,tier_4_queen__c,tier_5_ace__c,tier_5_jack__c,tier_5_joker__c,tier_5_king__c,tier_5_n_a__c,tier_5_queen__c,unranked_floor_ucr__c,unranked_gold_commission__c,unranked_silver_commission__c
a812L000000blMUQAY,4.4,28,20,4,,,,,5.25,32,27,5.25,32,28,5.25,29,21,HI - Hilo,0051a000002VLgZAAW,0,,5,false,5.25,30,25,SOCAL,11,0,a812L000000blMUQAY,1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,32,28
a812L000000blMOQAY,4.4,28,21.7,4,,,,,5.25,32,28,5.25,32,28,5.25,29,22.7,CA - Delano,0051a000002VLgZAAW,0,,5,false,5.25,30,27,SOCAL,11,0,a812L000000blMOQAY,1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,32,28
a812L000000blMMQAY,4.4,28,20,4,,,,,5.25,32,27.72,5.25,32,28,5.25,29,21,CA - Barstow,0051a000002VLgZAAW,0,,5,false,5.25,30,25.72,SOCAL,11,0,a812L000000blMMQAY,1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,32,28
a812L000000k9bfQAA,4.4,28,21.43,4,,,,,5.25,32,27.35,5.25,32,28,5.25,29,22.97,CA - Buellton,0051a000002VLgZAAW,0,,5,false,5.25,30,25,SOCAL,11,0,a812L000000k9bfQAA,1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,32,28
a812L000000k9cUQAQ,4.4,28,21.43,4,,,,,5.25,32,27.35,5.25,32,28,5.25,29,22.97,CA - Ridgecrest,0051a000002VLgZAAW,0,,5,false,5.25,30,25,SOCAL,11,0,a812L000000k9cUQAQ,1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,32,28
a812L000000k9cpQAA,4.4,28,21.43,4,,,,,5.25,32,27.35,5.25,32,28,5.25,29,22.97,CA - Yucca Valley,0051a000002VLgZAAW,0,,5,false,5.25,30,25,SOCAL,11,0,a812L000000k9cpQAA,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,32,28
a812L000000k9d7QAA,4.4,28,21.43,4,,,,,5.25,32,27.35,5.25,32,28,5.25,29,22.97,CA - Ramona,0051a000002VLgZAAW,0,,5,false,5.25,30,25,SOCAL,11,0,a812L000000k9d7QAA,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,32,28
a812L000000blMWQAY,4.4,28,24,4,,,,,5.25,32,28,5.25,32,28,5.25,29,25,HI - Kailua-Kona,0051a000002VLgZAAW,0,,5,false,5.25,30,28,SOCAL,11,0,a812L000000blMWQAY,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,32,28
a812L000000blMVQAY,4.4,28,24,4,,,,,5.25,32,27,5.25,32,28,5.25,29,25,HI - Maui,0051a000002VLgZAAW,0,,5,false,5.25,30,25,SOCAL,11,0,a812L000000blMVQAY,1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,32,28
a812L000000k9bwQAA,4.4,28,21.43,4,,,,,5.25,32,27.35,5.25,32,28,5.25,29,22.97,CA - Wasco/Shafter,0051a000002VLgZAAW,0,,5,false,5.25,30,25,SOCAL,11,0,a812L000000k9bwQAA,1836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,32,28
a812L000000k9fCQAQ,4.4,28,21.43,4,,,,,5.25,32,27.35,5.25,32,28,5.25,29,22.97,CA - Taft,0051a000002VLgZAAW,0,,5,false,5.25,30,25,SOCAL,11,0,a812L000000k9fCQAQ,2107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,32,28
a812L000000k9fBQAQ,4.4,28,21.43,4,,,,,5.25,32,27.35,5.25,32,28,5.25,29,22.97,CA - Tehachapi,0051a000002VLgZAAW,0,,5,false,5.25,30,25,SOCAL,11,0,a812L000000k9fBQAQ,2106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,32,28
a812L000000k9gGQAQ,4.4,28,21.43,4,,,,,5.25,32,27.35,5.25,32,28,5.25,29,22.97,CA - Morro Bay,0051a000002VLgZAAW,0,,5,false,5.25,30,25,SOCAL,11,0,a812L000000k9gGQAQ,2235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,32,28
a812L000000k9gCQAQ,4.4,28,21.43,4,,,,,5.25,32,27.35,5.25,32,28,5.25,29,22.97,CA - Ojai,0051a000002VLgZAAW,0,,5,false,5.25,30,25,SOCAL,11,0,a812L000000k9gCQAQ,2231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,32,28
a812L000000k9gBQAQ,4.4,28,21.43,4,,,,,5.25,32,27.35,5.25,32,28,5.25,29,22.97,CA - Blythe,0051a000002VLgZAAW,0,,5,false,5.25,30,25,SOCAL,11,0,a812L000000k9gBQAQ,2230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,32,28
a812L000000k9fuQAA,4.4,28,21.43,4,,,,,5.25,32,27.35,5.25,32,28,5.25,29,22.97,CA - Big Bear Lake,0051a000002VLgZAAW,0,,5,false,5.25,30,25,SOCAL,11,0,a812L000000k9fuQAA,2122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,32,28
